match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,1,0,0,0,0,0-0,1,True,1,6d,4f2n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,2,0,0,0,0,15-0,1,True,1,4b28b1f1f2b2b3s3b3w@,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,3,0,0,0,0,15-15,1,True,1,6s2d#,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,4,0,0,0,0,30-15,1,True,1,4n,6f1d#,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,5,0,0,0,0,40-15,1,True,1,6w,6b39b3b3b3b2n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,6,0,0,1,0,0-0,2,True,2,4#,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,7,0,0,1,0,15-0,2,True,2,6*,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,8,0,0,1,0,30-0,2,True,2,4f28f2b3f2b3b3b3f3b1d@,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,9,0,0,1,0,40-0,2,True,2,4b38b2f2f!@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,10,0,0,1,0,40-15,2,True,2,5n,6b28f1f2f1f#,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,11,0,0,1,1,0-0,3,True,1,4f3n#,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,12,0,0,1,1,15-0,3,True,1,4b29f1u3*,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,13,0,0,1,1,15-15,3,True,1,6n,5f1n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,14,0,0,1,1,30-15,3,True,1,4d,6f18f1f3b3f!@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,15,0,0,1,1,40-15,3,True,1,5b28b2b2f3b3w@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,16,0,0,2,1,0-0,4,True,2,4*,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,17,0,0,2,1,15-0,4,True,2,4b39f1f3d@,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,18,0,0,2,1,30-0,4,True,2,5b27f3*,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,19,0,0,2,1,40-0,4,True,2,4b2d#,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,20,0,0,2,2,0-0,5,True,1,5f28f3b3f2f2f1f1f3n@,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,21,0,0,2,2,0-15,5,True,1,6d,4b38b3b3b3f2b2f1f1f2f1f2b2f1n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,22,0,0,2,2,15-15,5,True,1,4f18f3b2d@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,23,0,0,2,2,30-15,5,True,1,5f1n#,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,24,0,0,2,2,40-15,5,True,1,6b28b1f3b2f3*,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,25,0,0,2,2,40-30,5,True,1,6f28f1f3b3b3b3b3b2f1f1f1f2f3b3s3s3n@,,,2
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,26,0,0,2,2,40-40,5,True,1,6n,5f19f2f3f3r3b1f1n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,27,0,0,2,2,AD-40,5,True,1,4n,4b28f3b3b3f1n@,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,28,0,0,3,2,0-0,6,True,2,6b29f3d@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,29,0,0,3,2,0-15,6,True,2,6f29b3f1f2d@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,30,0,0,3,2,0-30,6,True,2,5b38b3b3b1f1f3b2f3b3b3b1f3b3b3b3b1w@,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,31,0,0,3,2,0-40,6,True,2,4w,4b38b3b2f2f1f1f3b3f1*,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,32,0,0,4,2,0-0,7,True,1,6b2d#,,,1
20230820-M-Cincinnati_Masters-F-Novak_Djokovic-Carlos_Alcaraz,33,0,0,4,2,15-0,7,True,1,4b37b1f2f3b1*,,,2
